#,배근찬,,,최지민,,,노연수,,,안지민,,
,Y/N,Severity,Note,Y/N,Severity,Note,Y/N,Severity,Note,Y/N,Severity,Note
143,N,,,N/A,,,N/A,,,N,,
144,N,,,N/A,,,N/A,,,N,,
145,N/A,,,N/A,,,N/A,,,N/A,,
146,?,,,N/A,,,N/A,,,?,,
147,Y,,,N/A,,,N/A,,,N,4,
148,Y,,,Y,,,N/A,,,N/A,,
149,N/A,,,N/A,,,N/A,,,N,1,
150,Y,,,Y,,,N/A,,,Y,,
151,N/A,,,Y,,,Y,,,N,1,
152,Y,,,?,,,N/A,,,,,
153,N,,,N/A,,,N/A,,,N,1,
154,N/A,,,N/A,,,N/A,,,N/A,,
155,N,,,N,,,N,,,N/A,,
156,N,,,N,,,N,,,N,,
157,Y,,,Y,,,Y,,,Y,,
158,Y,,,Y,,,N/A,,,N/A,,
159,Y,,,Y,,,Y,,,Y,,
160,Y,,,Y,,,N,2,,Y,,더 눈에 띄게 만들면 좋겠음
161,N/A,,,N/A,,,N/A,,,N/A,,
162,Y,,,Y,,,Y,,,Y,,
163,Y,,,Y,,,Y,,,Y,,
164,Y,,,Y,,,Y,,,Y,,
165,Y,,,N,1,,Y,,,Y,,
166,Y,,,N,2,,Y,,,Y,,
167,Y,,,Y,,,Y,,,Y,,
168,Y,,,Y,,,Y,,,Y,,
169,Y,,,Y,,,Y,,,Y,,
170,Y,,,Y,,,N/A,,,N/A,,
171,N/A,,,N/A,,,N/A,,,N/A,,
172,?,,,N/A,,,Y,,,Y,,
173,Y,,,N/A,,,Y,,,Y,,
174,Y,,,Y,,,Y,,,Y,,
175,Y,,,Y,,,Y,,,Y,,
176,Y,,,N,3,,N,2,,Y,,
177,Y,,,Y,,,Y,,,Y,,
178,Y,,,Y,,,N/A,,,Y,,
179,Y,,,Y,,,N/A,,,Y,,
180,Y,,,Y,,,Y,,,Y,,
181,Y,,,Y,,,Y,,,Y,,
182,Y,,,Y,,,Y,,,Y,,
183,N/A,,,N/A,,,N/A,,,N/A,,
184,N/A,,,N/A,,,N/A,,,N/A,,
185,Y,,,Y,,,Y,,,Y,,
186,N/A,,,N/A,,,Y,,,N/A,,
187,N/A,,,N/A,,,Y,,,N/A,,
188,Y,,,Y,,,Y,,,Y,,
189,Y,,,Y,,,Y,,,Y,,
190,N/A,,,N/A,,,Y,,,N/A,,
191,N/A,,,N/A,,,Y,,,N/A,,
192,N/A,,,N/A,,,Y,,,N/A,,
193,N/A,,,N/A,,,Y,,,N/A,,
194,Y,,,Y,,,Y,,,Y,,
195,Y,,,Y,,,Y,,,Y,,
196,N/A,,,N/A,,,N/A,,,Y,,
197,Y,,,Y,,,Y,,,Y,,
198,Y,,,Y,,,Y,,,Y,,
199,N,2,일관성 없는 스타일,N,3,,Y,,,N,,
200,N,3,색상이 적절히 사용되지 않음,N,2,,Y,,,Y,,일관적이지만 못생기게 일관적
201,2,3,,1,3,,2,,,3,,
202,2,3,,3,3,,2,,,3,,
